tag;val
tarantool;1
bitrix24;1
CURL;1
MS PowerPoint;1
Битрикс-24;1
WebSocket;1
CakePHP;1
R&D;1
Java SE;1
Yii 2;1
AMQP;1
Phalcon Framework;1
HTML/CSS;1
Spring Framework;1
Express;1
moodle;1
Drupal 7;1
Drupal 8;1
three.js;1
Start-up project;1
Креативность;1
Vue JS;1
SQLite;1
Laminas;1
Деловая коммуникация;1
Проектная документация;1
PL QSL;1
REST api;1
FastReport;1
Delphi;1
HTTP/HTTPS;1
Аналитические способности;1
JS/JQuery;1
СЭД;1
Unit-tests;1
bable;1
Teams;1
SOLID, DRY, KISS;1
MS Outlook;1
Agile Scrum;1
CodeReview;1
MicroServices;1
Внутренний контроль;1
Заключение договоров;1
Административное управление;1
• Желание развиваться профессионально;1
Аналитический склад ума;1
ОС Linux;1
Confluence;1
eСommerce;1
1С: Управление Торговлей;1
1С-Bitrix;1
Helm чарты;1
GitLab CI;1
Silex;1
Windows Server 2003;1
VMware;1
Grafana;1
Prometheus;1
Лидерство;1
php 7;1
Преподаватель;1
UX;1
web services;1
ci/cd;1
gitlab;1
Творческое мышление;1
WSDL;1
Программирование PHP;1
Первичные документы;1
React JS;1
Laravel HTML;1
Брокер;1
оформление документации;1
регулярные выражения;1
Мотивация;1
Shopify;1
ReactJs;1
Сomposer;1
Symfony3;1
PSR-4;1
PSR-2;1
PSR-1;1
angular;1
CMS Moodle;1
Управление процессами;1
Joomla;1
Yiu2;1
Graylog;1
PHP Symfony;1
Точность и внимательность к деталям;1
Mariadb;1
VUE;1
Postman;1
d7;1
Software Development;1
Vue js;1
Командная разработка;1
Умение расставлять приоритеты;1
MS CRM;1
MS Access;1
Bitrix 24;1
React.js;1
MySQL5.6;1
Анализ рынка;1
Phalkon;1
Фреймворки: Yii2, Symfony, Laravel;1
CPA;1
Фреймворк;1
php laravel, vue js, postgres, rabbitmq;1
Собеседование;1
Phyton;1
NATS;1
Wordpress;1
удаленная работа;1
PHP fpm;1
Vagrant;1
Настройка серверов Apache;1
Unix Shell Scripts;1
Doctrine ORM;1
VUE.JS;1
Rest-API;1
MemCache;1
PgSQL;1
Ubuntu;1
Doctrine 2;1
amoCRM;1
MVC knowledge;1
GoLang;1
Системный подход;1
Laravel Framework;1
OOP;1
PHP7,;1
MySQL,;1
Solid Edge;1
Magento 1/2;1
Trello;1
Бизнес-анализ;1
Radis;1
RabitMQ;1
DRY;1
Алгоритмы;1
PWA;1
Веб-разработка;1
Restful api;1
Vue.js React.js Веб-программирование docker;1
Linux Symfony;1
умение работать с чужим кодом;1
чистый PHP;1
Solid Works;1
Паттерны проектирования;1
Первичная документация;1
Linux, Apache, Nginx, Laravel, VueJS, OOP;1
Асинхронное программирование;1
Web Design;1
php-программирование;1
wordpress;1
Реляционные БД;1
JSF;1
Lotus Symphony;1
lavarel;1
Высоконагруженные системы;1
интернет-технологии;1
web-разработка;1
web-программирование;1
oop;1
MS Dos;1
работа с сайтом;1
Google AdWords;1
Google Analytics;1
1C: Бухгалтерия;1
Bitrix D7;1
CSS/SCCS;1
umi;1
Веб разработчик;1
Programming;1
Адаптивная верстка;1
REST/SOAP;1
Angular (typescript);1
Firestore;1
Firebase;1
Коммуникабельность;1
Групповое обучение;1
Управленческие навыки;1
Drupal CMS;1
Codelgniter Framework;1
Grunt;1
Full-Stack;1
Веб-дизайн;1
Битрикс, Laravel;1
BackEnd;1
Немецкий — A1 — Начальный;1
Moodle;1
Аутсорсинг;1
shopware;1
NuxtJs;1
VueJs;1
XML/JSON;1
Blockchain;1
NetBeans;1
Databases;1
Twig;1
ECMAScript 6;1
Babel;1
Laravel5;1
PHP 7.1/2/3;1
ZennoPoster;1
BPN сеть;1
Majestic SEO;1
elasticsearch;1
symphony;1
Rest Api;1
Unit test;1
React.JS;1
rest api;1
Doctrine;1
Ruby;1
Back-End Developer со знанием Front-End;1
PHP-разработчик middle;1
внимательность;1
разработчик web-сайта;1
web-разработчик;1
php-программист;1
Yarn;1
Gitlab CI;1
uikit;1
программист;1
PHP 7.1;1
QA;1
Slim 3 microframework;1
1С;1
ReactPHP;1
1C Битрикс;1
CI;1
GOLANG;1
Perl;1
Elastisearch;1
Laravel 5;1
Технический перевод;1
PHP 7.0+;1
phalcon;1
Кроссмаркет;1
1C;1
командная работа;1
IP телефония;1
разработка сайта;1
Tarantool;1
