tag;val
redux-saga;1
Amazon Web Services;1
websockets;1
Reacr;1
Немецкий язык;1
разработка архитектуры решения;1
MODX;1
Amber;1
web-разработчик;1
Фотография;1
Графический дизайн;1
Software Development;1
symphony;1
elasticsearch;1
JavaScript (ES5/ES6);1
Butbucket;1
go;1
golang;1
JavaScrip;1
WEB Api;1
WPF;1
Redux/Mobx;1
React Testing Library;1
Enzyme;1
удалённая работа;1
Ретушь;1
Adobe Lightroom;1
разработчик web-сайта;1
Dart;1
TweenMax;1
База данных: Oracle;1
Team management;1
Helpdesk;1
ABAP;1
Управление рисками;1
Автоматизация технологических процессов;1
Test case;1
Time management;1
Bug Reporting;1
Regressive testing;1
Тестирование пользовательского интерфейса;1
JUnit;1
bash scripting;1
Business English;1
Высоконагруженные системы;1
it;1
ES5+;1
UI\UX;1
Akita;1
HTML 5;1
1С: Управление Торговлей;1
1С программирование;1
1С: Бухгалтерия;1
Type Script;1
Java Sсript;1
Ведение документации;1
Деловая этика;1
Деловая переписка;1
ClickHouse;1
Интернет-реклама;1
Телефонные переговоры;1
bempug;1
gitflow;1
TypeScript 3.5+;1
Angular 8+;1
Руководство коллективом;1
Core3;1
Azure;1
Express.js / koa.js;1
Nest js;1
JSP;1
Analytical skills;1
XML/Xslt;1
Razor;1
MariaDB;1
CI\CD;1
Erlang;1
Gatsby.js;1
Video.js;1
Rocket.Chat;1
Netlify;1
EmberJS;1
Spring Boot;1
Front End;1
xamarin;1
Telegram;1
Net Core;1
Celery;1
VUE.JS;1
Vue-route vue-cli;1
CI;1
.NET;1
Visual Studio C#;1
Nextjs;1
Технический английский;1
meteor.js;1
программист;1
разработка сайта;1
IP телефония;1
Разработка CMS;1
vue js;1
Веб-дизайн;1
Обучение;1
Администрирование;1
PHP-разработчик junior;1
Back-End Developer со знанием Front-End;1
UI Kit;1
RxJs;1
Opera;1
Расстановка приоритетов;1
1С: Документооборот;1
верстальщик;1
Разработчик;1
Vue-route;1
vue-cli;1
Adobe Dreamweaver;1
scss/sass;1
npm/yarn;1
Apollo;1
react native;1
Flash MySQL;1
ORACLE;1
Dhemlx;1
Full-stack;1
back-end;1
Javascriptdeveloper;1
Frontenddeveloper;1
Backenddeveloper;1
Fullstack;1
Node.js-Vue;1
Казахский — C2 — В совершенстве;1
redax;1
react js;1
Lavarel;1
TypeScript, MVC, Gulp, Grant, Node.js;1
Drupal 8;1
TypeScrypt;1
GoLang;1
Администрирование серверов Windows;1
Legacy;1
GRASP;1
Узбекский — A2 — Элементарный;1
full stack;1
front end;1
back end;1
MVVM;1
Clean Architecture;1
● jQuery;1
unit-тест;1
Good communication skills;1
JWT;1
Управленческие навыки;1
Проектирование пользовательских интерфейсов;1
php-fpm;1
Pixi.js;1
программирование;1
AEM;1
Paper.js;1
Internet;1
Databases;1
VCS Git;1
Express JS;1
Swift;1
StyledComponents;1
DOMObject;1
ASYNC;1
Ревью кода;1
E-Commerce;1
Tailwind CSS;1
Restful API;1
Headless CMS;1
JavaScript Engineer;1
Software Developer;1
Инженер-программист;1
RestAPI;1
"Websocket;";1
Vue.js/Nuxt.js;1
ES2016;1
кроссбраузерность;1
reactjs;1
MS Publisher;1
Unity3d;1
Polymer 3.0;1
Back-end;1
Laravel 5.3;1
Audacity;1
Vue Router;1
Material UI;1
FirebirdSQL;1
frontend фреймворк;1
open source;1
JavaScript (ES6);1
nunjucks;1
swagger;1
HighCharts;1
Angular CLI;1
SmartTV;1
Liferay;1
vue native;1
про-активность;1
разработка пользовательских интерфейсов;1
SEO оптимизация;1
Управление разработкой;1
Leadership Skills;1
Flow;1
Умение работать в коллективе;1
SailsJS;1
asp.net core;1
Quasar Framework;1
SASS/SCSS;1
Webpack 4;1
SQLAlchemy;1
Sanic;1
AIOHTTP;1
Flask;1
Business Intelligence Systems;1
Бизнес-анализ;1
Рефакторинг;1
Оптимизация кода;1
оптимизация верстки;1
Webpack 2;1
Аналитический склад ума;1
single page applications;1
Framework7;1
блокчейн;1
OOP;1
Laravel Framework;1
Навыки межличностного общения;1
ScrollMagic;1
GLSL;1
Anime.js;1
Работа с проблемными активами;1
CMS Bitrix;1
ElesticSearch;1
Anime.JS;1
Системное мышление;1
three.js;1
flexbox;1
grunt;1
Meteor;1
Apache Tomcat;1
Работа с жалобами клиентов;1
веб-анимация;1
адаптивная верстка;1
web-разработка;1
BusyBox;1
api bitrix;1
Rect;1
bem;1
js;1
XSLT;1
Phaser;1
Haxe;1
Effector;1
ECMA6/7;1
solidity;1
express.js;1
a11y;1
gamedev;1
Game Programming;1
Hooks;1
React Hooks;1
Svelte;1
SASS / LESS;1
Async / Await;1
enzyme;1
jest;1
JS (es6);1
reselect;1
immutableJs;1
GIMP;1
Inkscape;1
API BITRIX;1
Фреймворк;1
Socket IO;1
NativeScript;1
Native Script;1
Владение JavaScript;1
Опыт разработки на PHP;1
Знакомство с реляционными базами данных;1
Знание и опыт вёрстки HTML;1
Дисциплинированность;1
Способность быстрого погружения в различные предметные области;1
Codelgniter Framework;1
Internet Marketing;1
ElasticSearch;1
Zeplin;1
Smarty;1
InfluxDB;1
Full stack;1
Pug;1
Материальная ответственность;1
vanilla JS;1
SQLite;1
ci/cd;1
React.Js;1
SapUI;1
ssr;1
Оптимизация бизнес-процессов;1
netcat;1
NgRx;1
Обучение и развитие;1
CSS, верстка сайтов и приложений;1
Anagular2+;1
ADO.NET;1
NET Core;1
ERP;1
Reасt JS;1
ionic;1
JavaScript ES6;1
Skype;1
ECMAS6;1
CMS Opencart;1
backend;1
битрикс24;1
nestjs;1
canvas;1
pixi.js;1
NestJS;1
TeamCity;1
Bitrix;1
Корпоративная этика;1
Angular Material;1
Организация конференций;1
Web разработка;1
Flow.js;1
Styled-components;1
Redux-saga;1
HTML5+;1
CSS3+;1
CSS3/SASS;1
Frontend-разработка;1
Kanban;1
Blade;1
Twig;1
Система контроля верстки;1
NodeJS (Express);1
Angular JS;1
Vue JS;1
ExpressJs;1
1C Bitrix;1
ModX Revolution;1
GitFlow;1
увлеченность программированием;1
желание обучаться;1
JavaScript(Jquery);1
EntityFramework;1
MSSQL;1
Paper js;1
"HTML5, CSS3, jQuery, flex, БЭМ, Git, Gulp, SCSS, SASS, JavaScript, пиксель перфект;";1
Программирование;1
BPWin;1
Организация семинаров;1
Grunt/Gulp;1
Reviewing;1
Точность и внимательность к деталям;1
CMS;1
Web extension;1
Асинхронное программирование;1
Openshift;1
Go;1
php7;1
Проведение опросов;1
Организаторские навыки;1
socket.io;1
React-Native;1
websocket;1
Webapi;1
Bitrix Framework;1
Русский — C1 — Продвинутый;1
Nuxtjs;1
Android SDK;1
NGRX;1
Websocket;1
Tailwind;1
WP Codex;1
Сomposer;1
Symfony3;1
PSR-4;1
PSR-2;1
PSR-1;1
Планирование;1
React js;1
Angular 2/4;1
MODx Revolution;1
Оперативность;1
userscript;1
Node Package Manager;1
.net Core;1
MS Visio;1
Linux, Apache, Nginx, Laravel, VueJS, OOP;1
MySQL,;1
PHP7,;1
php, mysql, javascript, html5, css3;1
Е2Е;1
Unit-тестирования;1
Lua;1
Subversion;1
React/Redux;1
Javascript/Typescript (ReactJS, Redux), HTML5, CSS3;1
Adobe InDesign;1
Angular 7;1
Angular 6;1
Websokets;1
Quasar;1
Tilda;1
Video Streaming;1
RTMP;1
HLS;1
Django;1
Разработка сайтов;1
Socket.io;1
TypeScipt;1
Leaflet;1
Bitbucket pipelines;1
Turbo Pascal;1
Selenium;1
Adobe Experience Manager;1
MS PowerPoint;1
es5;1
