tag;val
php7;1
Magento;1
Zend Framework;1
Коммуникабельность;1
Обучение персонала;1
OpenStack;1
Тестирование пользовательского интерфейса;1
QA Automation;1
MS Project;1
GRPC;1
GO;1
uipath;1
VB;1
MS Visio;1
Delphi;1
Back-end;1
OpenCV;1
Niginx;1
Pytorch;1
Bootstrap;1
микросервисы;1
Asterisk;1
FreeSWITCH;1
VoIP;1
Openstack;1
Rust;1
бот;1
TDD;1
HTML5\CSS3;1
Mathematical Modeling;1
ES5+;1
PostgeSQL;1
DevOps methodology;1
Numpy;1
ETL;1
koji;1
Контроль качества;1
Houdini;1
Scalable Microservices;1
OpenGL;1
OpenCL;1
квант;1
UI тестирование;1
Postgres;1
Helm;1
Jupyter;1
Luigi;1
Workflow Management;1
Game Programming;1
биржевые роботы;1
криптовалюты;1
GraphQl;1
team leader;1
SDLC;1
биткоин;1
Highload;1
Bitcoin;1
cryptocurrencies;1
InfluxDB;1
Навыки межличностного общения;1
GWT;1
Adobe Dreamweaver;1
Многопоточное программирование;1
Borland Delphi;1
Сбор и анализ информации;1
Fastapi;1
Code review;1
шаблоны проектирования;1
AsyncIO;1
BigQuery;1
pytest/unittest;1
Асинхронное программирование;1
.Net Core;1
Ansiible;1
aioamqp;1
Статистический анализ;1
PyTorch;1
Prometheus;1
парсинг;1
Grafana;1
parsing;1
методология тестирования;1
работа с детьми;1
Линейное программирование;1
Закупка товаров и услуг;1
Деловая этика;1
Тайм-менеджмент;1
Деловое общение;1
Pymorphy;1
Gunicorn;1
UI;1
Restful API;1
Математическое программирование;1
Оптимизация бизнес-процессов;1
Pl/Python;1
celery;1
PostreSQL;1
VUE.js;1
GoLang;1
С#;1
Нейронные сети;1
Laravel;1
Leadership Skills;1
Организационное проектирование;1
word2vec;1
OAuth;1
Robot Framework;1
Test automation;1
SQL-запит;1
Tableau;1
Power BI;1
DDD;1
Web Design;1
Web-дизайн;1
Unity;1
BERT;1
Python 3+;1
Behave;1
Teambuilding;1
FineReader;1
Machine learning;1
DockerCompose;1
Channels;1
RestfullAPI;1
protobuf;1
MS SQL Server;1
Java Script;1
XHTML;1
gRPC;1
CentOS;1
Quality assurance;1
Tester;1
MS Office;1
«Django Framework», «SQL», «Vue», «Data science», «Redis», «Asyncio», «Ubuntu Server».;1
clickhouse;1
Flink;1
Javascript (ES6);1
ECMAScript;1
Postgre;1
Управление персоналом;1
VueJS;1
Инвестиции;1
Управление затратами;1
REST-API;1
React.JS;1
Amazon;1
Оперативный поиск информации в сети Интернет;1
Angular2+;1
сверточные нейронные сети;1
Творческое мышление;1
MS Visual Basic;1
Microsoft Visual Studio;1
проведение тренингов;1
Visual C++;1
Visual Studio C#;1
Java SE;1
MS Visual C++;1
Информационная безопасность;1
Jinja2;1
sanic;1
grpc;1
hadoop;1
нейронка;1
Модели машинного обучения;1
Торговля;1
fasttext;1
OpenWRT;1
computer vision;1
Интервьюирование;1
machine learning;1
Английский - В1 - Средний;1
webrtc;1
angular;1
drf;1
алготрейдинг;1
Строительство;1
Жилая недвижимость;1
удаленная работа;1
нейросети;1
GraphQL;1
Jupyter Notebook;1
ZooKeeper;1
Filebeat;1
CNN;1
deep learning;1
keras;1
opencv;1
IT;1
