tag,count
ЦУП,2
1C,2
Расчетно-кассовое обслуживание физических лиц,2
Обучаемость,2
Программирование,2
Тактичность,2
MS Movie Maker,2
Подготовка презентаций,2
Корпоративная этика,2
Atlassian Jira,2
MS Visual Basic,2
C#,2
Внедрение 1С,2
Adobe Photoshop,2
Сертификация продукции,2
Передача документации на исполнение,2
Меркурий,2
Внутренняя документация,2
Google Docs,2
Закупка товаров и услуг,2
Дистанционное обучение,2
Списание ТМЦ,2
Контроль поставок,2
Логистика поставок,2
1С: БГУ,2
Управление производственным персоналом,1
Доработка программных продуктов 1С,1
Экономическое моделирование,1
Знание программ 1С,1
Авансовые отчеты,1
1С БП,1
точность и внимательность к деталям,1
1С 8,1
1С: ЗКГУ,1
1-С,1
Учет материалов,1
знание 1С,1
Организационные навыки,1
Доработки 1С,1
Российские стандарты бухгалтерского учета,1
Сопровождение 1С,1
Выставочная деятельность,1
Далион,1
удаленная работа,1
Написание отчетов и доработок 1С,1
Техническая поддержка пользователей,1
"Внимательность к деталям, умение работать с большими объемами информации",1
1С 8.3 УНФ,1
Кроссбраузерная верстка,1
Логистика,1
CARGO,1
сертификаты,1
Bash,1
справки АБ,1
Формирование сопроводительной документации для отгрузки клиентам,1
Работоспособность,1
Расстановка приоритетов,1
сопроводительные документы,1
стремление к развитию,1
Сборка ПК,1
Установка и обновление 1С,1
"Уверенный пользователь 1С Профессионализм, исполнительность",1
Товаро-сопроводительная документация,1
Оптимизация бизнес процессов,1
Опытный пользователь ПК,1
Исполнение личных поручений руководителя,1
Знание номенклатуры зоотоваров,1
Проактивность,1
опыт в самостоятельных разработках,1
"Навыки исследования, анализа и описания бизнес процессов",1
ЭДО,1
Ведение переписки,1
Yii,1
Работа с системами аналитики,1
Внутренние коммуникации,1
Прогнозирование,1
Аутсорсинг,1
Zend Framework,1
Laravel,1
Автоматизация склада,1
Математическое моделирование,1
Гибкость,1
Математическая статистика,1
Усидчивость,1
БП 8,1
ЗУП 8,1
1С 8 Управление медицинским центром,1
Мерчандайзинг,1
1С управляемые формы,1
управляемые формы,1
нетиповая 1С,1
доработка конфигураций,1
язык запросов,1
планы обмена,1
платформа 1С,1
доработка 1С,1
конвертация данных,1
Web-сервисы,1
конвертации данных 2,1
конфигурация БСП,1
1С Управление нашей фирмой,1
создание справочников и документов,1
работа в торговой сети,1
умение решать поставленные задачи,1
Упорство,1
Windows Server 2008 R2,1
Инциативность,1
Расчеты с покупателями,1
Техническая документация,1
Рерайтинг,1
внедрение программных продуктов,1
Готовность много и плодотворно учиться и трудиться,1
Любовь к программированию,1
"Опыт разработки систем складской логистики – учет товаров, ячеистый склад, автоматизация инвентариза",1
Опыт интеграции,1
1С:Специалист по платформе 1С:Предприятие 8.0 1С:Специалист по конфигурированию программного продукт,1
Методолог 1С,1
ТОИР,1
Мотивация персонала,1
1С ITIL,1
Договорная работа,1
1,1
MS Publisher,1
БП 3.0,1
1С:Эксперт,1
"внимательность, знание 1С Торговля+Склад, Егаис,",1
Строительство,1
ERP 2.0,1
Статистический анализ,1
Производственное планирование,1
Apsheet,1
Qlik Sense,1
руководство командой разработчиков,1
Административно-хозяйственная деятельность,1
Знание языка программирования 1С,1
СЭД,1
Готовность к обучению,1
Администрирование SQL,1
Составление ТЗ на разработку,1
Умение разбираться в чужом коде,1
Основы бухучета в производстве,1
"1С 8.3, конфигурация 1С ERP/БПЗУП",1
Разработка проектной документации,1
Redmine,1
Автоматизация производства,1
1С 8.2,1
http-сервисы,1
1C:ERP,1
Установка программного обеспечения,1
1c:8.2,1
1С:УТ11,1
Postman,1
"1С:Предприятие 8.3, управляемые формы",1
oAuth 2.0,1
Разработка 1С,1
Веб-программирование,1
Confluence,1
Jira,1
Kafka,1
RabbitMQ,1
ActiveMQ,1
Gitlab CE,1
Урегулирование конфликтов,1
1С:Управление Проектной Организацией,1
УХ-1С,1
My SAP ERP,1
Управленческое консультирование,1
Управление разработкой,1
1С 8.3 Предприятие,1
Знание 1с,1
интеграция с внешними системами,1
ВЕТИС,1
Внедрение и сопровождение программных продуктов 1С,1
Сопровождение пользователей,1
готовность развиваться,1
выставление счетов,1
Платежные шлюзы и сервисы,1
РИБ,1
Конвертация данных 2,1
ePay.kkb.kz,1
kassa 24,1
QIWI,1
1C программирование 1С: Предприятие 8 ERP-системы на базе 1С Обновление конфигурации 1С,1
Windows Os,1
Web/FTP Proxy (Bluecoat SG),1
Конвертация данных 3,1
1С: Альфа-Авто,1
БИТ.Финанс,1
Честный знак,1
нетиповые конфигурации,1
нестандартные конфигурации,1
Delphi,1
Анализ рынка,1
Работа с кассой,1
бухгалтерский и управленческий учет,1
командные проекты,1
разработка отчетов,1
оптимизация механизмов,1
Обмен данными,1
Доработка конфигураций,1
AXAPTA,1
1с,1
1c,1
Автоматизация технологических процессов,1
разработки в 1С,1
Контроль отгрузки и доставки товара,1
Распределительная логистика,1
Кассовые документы,1
Умение работать с технической документацией,1
Казахский — A1 — Начальный,1
1c crm,1
1c erp,1
поддержка 1с,1
разработчик 1с,1
программист 1с,1
бсп,1
скд,1
Администрирование конфигураций,1
Поддержка пользователей,1
УТ-Бухгалтерия,1
"обновление и доработка учетных систем на базе 1С Бухгалтерия 3.0, УП",1
Ms Expert,1
Транспортная логистика,1
специалист-консультант,1
Интегратор 1С:CRM,1
аналитик CRM,1
аналитик 1С,1
1C СРМ,1
1С CRM,1
1С УТ,1
консультант 1С ут,1
1c ут 11,1
консультант управление торговлей,1
"Отличное знание Word, Excel. 1С",1
ARIS,1
производственный учет,1
уверенный пользователь ПК,1
Английский — C1 — Продвинутый,1
Внедрение ПО для управления производством,1
демонстрация функционала ПО,1
Тайм-менеджмент,1
Товароведение,1
специалист 1с,1
Подготовка отчетов,1
Контроль дебиторской задолженности,1
Навыки работы с возражениями,1
Штрих-М: Кассир,1
Штрих-М: Торговое предприятие,1
"1С:Предприятие 8.3, Управление торговлей 11.1",1
Web,1
регистрация документации,1
Понимание Платформы 1С 8.х,1
Самоконтроль,1
1C:УХ,1
Базовые знания программирования,1
Автоматизация бизнес-процессов на базе 1С,1
интеграция,1
Конвертация данных,1
стандарты разработки,1
1С: Архитектура,1
Skype,1
