tag,count
Руководство коллективом,2
Google Analytics,2
Обучение персонала,2
Анализ бизнес показателей,2
ZBrush,2
Visual Basic,2
Travis CI,2
парсинг,2
Pycharm,2
PySide2,2
Java Script,2
PHP7,2
Blender 3D,2
Plotly,2
Docker-compose,2
PyQT,2
Стратегическое мышление,2
Laravel,2
Тестирование,2
Управление временем,2
Computer vision,2
Честность,2
Дружелюбность,2
RESTful API,2
Jenkins,2
Communication skills,2
Знание алгоритмов,2
Visual Studio Code,2
обучаемость,2
async,2
sqlalchemy,2
PostgresSQL,2
Дисциплинированность,2
Firebase,2
Статистический анализ,2
Aiohttp,2
Android Studio,2
Scikit-Learn,2
Beautiful Soup,2
MS Power BI,2
multiprocessing,2
Windows Xp,2
Критическое мышление,2
Django ORM,2
Яндекс.Облако,2
MS Project,2
Jupiter,2
1С программирование,2
c,2
Scraping,2
DjangoORM,2
Парсинг,2
Analysis,2
Windows Os,2
Maven,2
Hibernate ORM,2
Telethon,2
Чат-боты,2
Объектно-ориентированное программирование,2
1С-Битрикс,2
Общительность,2
Обработка изображений,2
Programmatic,2
Opencv,2
Anaconda,2
Beautifulsoup,2
web-scraping,2
Web Scraping,2
MPI,2
Django REST API,2
Computer Vision,2
Владение Unity3D,1
Flask-socketio,1
Биржевые торги,1
Настройка серверов,1
Системный подход,1
"Python - Понимание принципов ООП. Базовые знание Django Framework, SQL, HTML, CSS",1
Windows family,1
Системное мышление,1
Организационное проектирование,1
SQL (базовые знания),1
CouchDB,1
Монтаж звука,1
Sony Vegas,1
Bash (базовые знания),1
Telegram Bots,1
Blockchain,1
Deploying,1
Adobe XD,1
Opencart,1
Парсинг данных,1
C++ (базовые знания),1
PHP Hypertext Preprocessor,1
Навыки командной работы,1
Понимание ценности для клиента,1
Гибкость,1
Стратегический анализ,1
Мобильность,1
Data structures,1
Office Administration,1
Frontend,1
PhantomJs,1
Автоматизация процессов,1
REST (basic knowledges),1
"Ориентация на конкретный результат деятельности,",1
Целеустремлённость,1
Способен к самообучению,1
Стрессоустойчив,1
zennoposter,1
Желание учиться,1
Git/GitHub,1
Fast-learning,1
Agile,1
Ability to work in a team,1
Flexibility,1
Responsibility,1
SOLID,1
"Python, Django, Bootstrap, CSS, HTML, SQL, Git, WordPress, Linux, Bash, Ansible, Jenkins, Docker",1
"TCP/IP, GCP",1
Swift (basic knowledges),1
Техническая документация,1
логирование,1
умение чувствовать людей и располагать их к себе,1
Django (basic knowledges),1
целеустремлённость,1
WebPack,1
Sqllite3,1
Vuejs,1
frontend,1
AWS EC2,1
SOAP (basic knowledges),1
Python 2.0,1
Позитивность,1
Доброжелательность,1
Стремление к цели,1
Умение решать задачи,1
Корпоративные финансы,1
Финансовый анализ,1
telebot,1
Финансовое моделирование,1
Навыки продаж,1
Слепой набор текста,1
Trello,1
Django 3.0.8,1
Python 3.8,1
selenium,1
