"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 16, 2020","355.67","352.26","360.00","350.70","600.96K","0.67%"
"Feb 09, 2020","353.31","346.49","356.24","345.72","961.87K","1.47%"
"Feb 02, 2020","348.20","348.87","357.09","345.26","1.24M","0.38%"
"Jan 26, 2020","346.89","347.45","358.31","345.04","1.48M","-1.55%"
"Jan 19, 2020","352.36","354.41","365.68","351.03","1.68M","-0.83%"
"Jan 12, 2020","355.31","333.64","355.41","331.19","1.64M","6.49%"
"Jan 05, 2020","333.65","321.47","334.33","319.82","1.32M","3.52%"
"Dec 29, 2019","322.30","320.40","323.85","318.02","886.49K","0.37%"
"Dec 22, 2019","321.11","319.55","322.46","316.08","703.44K","0.63%"
"Dec 15, 2019","319.09","320.98","322.70","316.51","1.53M","0.68%"
"Dec 08, 2019","316.92","306.17","318.47","302.00","1.77M","3.17%"
"Dec 01, 2019","307.19","313.53","314.94","301.16","2.06M","-1.88%"
"Nov 24, 2019","313.09","308.76","318.25","306.25","1.11M","1.72%"
"Nov 17, 2019","307.81","303.06","310.73","300.11","1.51M","1.93%"
"Nov 10, 2019","301.98","290.50","302.21","288.70","1.22M","3.63%"
"Nov 03, 2019","291.40","293.01","295.69","288.89","1.00M","-0.15%"
"Oct 27, 2019","291.83","283.11","295.44","282.86","1.15M","3.58%"
"Oct 20, 2019","281.75","289.28","290.50","280.24","1.37M","-2.11%"
"Oct 13, 2019","287.81","294.06","297.21","287.60","1.25M","-2.07%"
"Oct 06, 2019","293.89","294.88","298.27","285.97","1.94M","-1.00%"
"Sep 29, 2019","296.87","294.32","299.17","285.05","1.84M","0.89%"
"Sep 22, 2019","294.25","301.39","305.88","292.68","1.55M","-2.67%"
"Sep 15, 2019","302.32","300.01","307.39","298.52","1.59M","0.27%"
"Sep 08, 2019","301.51","302.35","306.72","290.86","2.04M","-0.44%"
"Sep 01, 2019","302.84","308.78","309.87","296.01","1.68M","-2.23%"
"Aug 25, 2019","309.75","323.40","332.70","295.25","1.96M","-3.71%"
"Aug 18, 2019","321.67","337.92","339.17","320.31","1.44M","-4.09%"
"Aug 11, 2019","335.38","335.42","344.32","332.17","960.72K","-0.44%"
"Aug 04, 2019","336.87","331.56","338.58","322.22","1.75M","0.60%"
"Jul 28, 2019","334.86","338.46","342.79","331.62","1.03M","-0.92%"
"Jul 21, 2019","337.98","331.36","338.93","329.52","866.46K","1.95%"
"Jul 14, 2019","331.52","330.45","334.10","326.90","1.22M","0.18%"
"Jul 07, 2019","330.94","330.86","335.80","327.63","1.43M","-0.54%"
"Jun 30, 2019","332.73","339.38","343.33","329.30","1.39M","-1.23%"
"Jun 23, 2019","336.89","328.98","336.89","324.79","1.53M","2.44%"
"Jun 16, 2019","328.87","324.00","334.33","322.26","1.35M","1.79%"
"Jun 09, 2019","323.10","325.23","329.88","320.88","1.57M","0.36%"
"Jun 02, 2019","321.95","298.61","324.12","296.82","1.86M","8.11%"
"May 26, 2019","297.79","292.11","297.96","279.03","1.58M","2.26%"
"May 19, 2019","291.22","291.45","294.38","288.95","1.13M","-0.52%"
"May 12, 2019","292.73","287.12","295.46","284.60","1.04M","0.32%"
"May 05, 2019","291.79","290.90","296.31","284.12","1.07M","-0.72%"
"Apr 28, 2019","293.91","288.15","294.58","284.48","1.34M","1.95%"
"Apr 21, 2019","288.30","279.95","288.59","279.42","1.89M","2.52%"
"Apr 14, 2019","281.22","294.38","297.44","278.50","1.42M","-4.00%"
"Apr 07, 2019","292.94","289.13","297.22","284.58","1.47M","1.21%"
"Mar 31, 2019","289.44","298.00","302.36","288.24","2.16M","-2.27%"
"Mar 24, 2019","296.17","292.40","297.94","289.97","1.45M","1.51%"
"Mar 17, 2019","291.76","294.75","297.88","289.23","1.59M","-1.18%"
"Mar 10, 2019","295.23","288.43","296.76","287.68","1.81M","2.47%"
"Mar 03, 2019","288.10","291.35","299.00","278.85","2.90M","-0.88%"
"Feb 24, 2019","290.67","293.43","295.36","285.54","2.88M","-0.66%"
"Feb 17, 2019","292.59","279.13","293.00","278.88","1.17M","4.84%"
"Feb 10, 2019","279.07","277.50","280.19","274.50","1.69M","1.09%"
"Feb 03, 2019","276.07","277.74","281.30","270.54","1.33M","-0.59%"
"Jan 27, 2019","277.72","274.07","288.51","271.08","1.53M","0.77%"
"Jan 20, 2019","275.61","268.36","275.81","264.39","1.06M","2.22%"
"Jan 13, 2019","269.63","260.02","274.45","259.21","2.19M","3.11%"
"Jan 06, 2019","261.49","247.20","263.15","246.00","1.83M","6.21%"
"Dec 30, 2018","246.19","251.79","255.62","241.72","1.92M","-1.39%"
"Dec 23, 2018","249.65","235.93","252.95","228.65","2.14M","5.52%"
"Dec 16, 2018","236.58","247.47","249.85","234.43","2.66M","-5.36%"
"Dec 09, 2018","249.97","242.65","260.90","241.15","2.25M","2.86%"
"Dec 02, 2018","243.01","279.93","283.18","242.65","3.00M","-12.85%"
"Nov 25, 2018","278.83","273.00","281.75","269.10","2.15M","3.24%"
"Nov 18, 2018","270.08","265.57","270.35","252.36","1.06M","1.91%"
"Nov 11, 2018","265.03","267.83","267.83","250.46","1.50M","-1.03%"
"Nov 04, 2018","267.80","264.00","270.34","254.74","1.23M","1.66%"
"Oct 28, 2018","263.43","249.79","265.99","244.82","1.26M","6.29%"
"Oct 21, 2018","247.85","255.05","256.43","243.85","973.52K","-2.50%"
"Oct 14, 2018","254.21","255.77","264.75","252.31","1.04M","-0.78%"
"Oct 07, 2018","256.22","266.66","266.66","249.19","1.55M","-4.00%"
"Sep 30, 2018","266.89","277.31","280.10","263.54","1.56M","-3.70%"
"Sep 23, 2018","277.15","269.16","277.92","267.69","1.21M","3.06%"
"Sep 16, 2018","268.93","263.10","270.64","258.38","1.85M","2.29%"
"Sep 09, 2018","262.92","260.51","267.98","258.27","1.53M","1.35%"
"Sep 02, 2018","259.43","255.78","261.62","251.95","1.56M","1.43%"
"Aug 26, 2018","255.78","261.01","266.99","246.30","2.26M","-1.62%"
"Aug 19, 2018","259.98","257.74","261.18","254.74","1.21M","0.91%"
"Aug 12, 2018","257.63","253.16","258.75","250.00","1.22M","1.73%"
"Aug 05, 2018","253.26","259.53","260.83","252.35","1.47M","-2.71%"
"Jul 29, 2018","260.31","257.24","261.71","253.75","1.52M","2.49%"
"Jul 22, 2018","253.99","247.70","257.65","246.37","1.49M","2.18%"
"Jul 15, 2018","248.58","247.00","251.67","242.23","1.97M","0.59%"
"Jul 08, 2018","247.12","242.95","248.69","242.71","1.94M","1.82%"
"Jul 01, 2018","242.70","233.57","243.57","232.14","1.38M","3.08%"
"Jun 24, 2018","235.45","237.58","237.58","230.82","2.30M","-0.75%"
"Jun 17, 2018","237.23","235.26","238.37","230.47","2.82M","0.08%"
"Jun 10, 2018","237.03","231.19","237.66","221.50","3.65M","2.08%"
"Jun 03, 2018","232.21","227.99","245.00","222.43","3.02M","1.80%"
"May 27, 2018","228.11","225.40","231.25","222.74","1.79M","0.16%"
"May 20, 2018","227.75","234.09","236.91","226.94","1.49M","-2.38%"
"May 13, 2018","233.31","234.28","236.60","229.81","1.73M","-0.43%"
"May 06, 2018","234.32","227.46","234.44","224.07","1.42M","3.43%"
"Apr 29, 2018","226.56","231.95","232.43","222.14","1.48M","-1.81%"
"Apr 22, 2018","230.74","226.55","231.76","220.90","1.70M","2.50%"
"Apr 15, 2018","225.12","224.13","229.88","221.66","1.99M","1.69%"
"Apr 08, 2018","221.37","218.66","224.53","217.15","2.04M","1.56%"
"Apr 01, 2018","217.98","228.01","228.69","216.47","2.16M","-4.73%"
"Mar 25, 2018","228.81","220.10","231.50","219.73","2.36M","4.60%"
"Mar 18, 2018","218.74","235.51","236.64","218.12","2.38M","-7.19%"
"Mar 11, 2018","235.69","252.00","252.56","229.65","3.24M","-6.26%"
"Mar 04, 2018","251.43","232.94","260.26","230.24","3.49M","7.27%"
"Feb 25, 2018","234.38","230.51","234.90","224.70","1.78M","1.67%"
"Feb 18, 2018","230.54","231.51","233.43","227.50","1.33M","-0.83%"
"Feb 11, 2018","232.47","227.78","235.22","224.00","1.82M","2.52%"
"Feb 04, 2018","226.76","241.16","242.50","219.08","2.62M","-6.03%"
"Jan 28, 2018","241.32","246.06","247.71","240.06","2.74M","-1.73%"
"Jan 21, 2018","245.58","240.73","245.72","237.77","1.85M","2.05%"
"Jan 14, 2018","240.65","231.75","241.54","229.15","2.25M","4.25%"
"Jan 07, 2018","230.84","230.30","235.76","225.92","2.45M","0.15%"
"Dec 31, 2017","230.50","217.92","230.81","217.12","2.32M","5.79%"
"Dec 24, 2017","217.88","219.36","222.21","217.87","928.48K","-0.87%"
"Dec 17, 2017","219.80","229.75","230.73","218.95","2.16M","-4.14%"
"Dec 10, 2017","229.30","226.94","230.38","221.91","3.49M","1.21%"
"Dec 03, 2017","226.56","238.64","241.09","221.20","3.60M","-4.85%"
"Nov 26, 2017","238.10","243.41","246.58","236.00","1.80M","-1.73%"
"Nov 19, 2017","242.29","239.44","242.62","237.64","828.03K","1.53%"
"Nov 12, 2017","238.65","229.15","240.17","227.66","1.37M","4.19%"
"Nov 05, 2017","229.06","228.43","232.49","226.26","1.59M","-0.09%"
"Oct 29, 2017","229.27","244.27","244.46","225.71","2.20M","-6.20%"
"Oct 22, 2017","244.43","236.12","245.39","234.90","1.86M","3.86%"
"Oct 15, 2017","235.35","235.88","238.33","234.48","3.26M","-0.28%"
"Oct 08, 2017","236.00","240.62","241.00","233.37","1.89M","-2.21%"
"Oct 01, 2017","241.33","237.90","242.62","236.24","1.84M","1.78%"
"Sep 24, 2017","237.11","238.98","241.16","230.77","2.23M","-1.11%"
"Sep 17, 2017","239.77","245.68","249.75","230.69","4.24M","-2.22%"
"Sep 10, 2017","245.21","252.81","254.48","244.25","3.02M","-2.49%"
"Sep 03, 2017","251.48","236.25","252.05","235.70","2.26M","6.48%"
"Aug 27, 2017","236.18","247.25","251.47","234.62","2.92M","-4.12%"
"Aug 20, 2017","246.33","245.19","250.37","244.86","1.46M","0.52%"
"Aug 13, 2017","245.05","243.87","246.92","241.49","2.40M","1.71%"
"Aug 06, 2017","240.92","243.95","245.37","239.18","1.27M","-1.15%"
"Jul 30, 2017","243.72","247.00","247.18","241.16","1.48M","-1.17%"
"Jul 23, 2017","246.60","248.33","251.56","243.65","1.42M","-0.73%"
"Jul 16, 2017","248.41","251.44","256.39","246.20","1.92M","-0.78%"
"Jul 09, 2017","250.36","242.31","252.05","240.90","2.70M","3.14%"
"Jul 02, 2017","242.73","239.42","243.27","234.55","1.54M","1.38%"
"Jun 25, 2017","239.42","246.55","248.50","235.75","2.60M","-2.75%"
"Jun 18, 2017","246.19","239.52","247.80","237.94","1.87M","3.03%"
"Jun 11, 2017","238.95","237.13","242.36","231.27","2.14M","0.64%"
"Jun 04, 2017","237.43","239.35","243.89","235.04","3.03M","-0.37%"
"May 28, 2017","238.32","216.52","240.42","215.24","2.42M","9.59%"
"May 21, 2017","217.46","212.09","218.89","211.67","1.64M","2.28%"
"May 14, 2017","212.62","207.58","213.23","207.58","2.54M","2.42%"
"May 07, 2017","207.59","205.77","208.30","204.51","1.88M","0.91%"
"Apr 30, 2017","205.71","200.79","206.67","199.48","1.66M","2.69%"
"Apr 23, 2017","200.33","200.27","203.48","198.31","1.50M","0.60%"
"Apr 16, 2017","199.14","196.82","201.30","194.55","1.55M","1.45%"
"Apr 09, 2017","196.29","197.10","200.15","195.73","974.66K","-0.36%"
"Apr 02, 2017","197.00","199.78","201.22","194.29","2.08M","-1.45%"
"Mar 26, 2017","199.89","198.82","200.73","196.92","1.51M","0.05%"
"Mar 19, 2017","199.80","195.28","202.70","194.01","2.35M","2.39%"
"Mar 12, 2017","195.14","194.32","196.00","192.24","1.35M","0.42%"
"Mar 05, 2017","194.32","193.95","196.25","191.64","1.88M","-0.07%"
"Feb 26, 2017","194.46","199.72","201.83","193.91","3.45M","-2.63%"
"Feb 19, 2017","199.72","195.39","200.03","194.50","1.64M","1.94%"
"Feb 12, 2017","195.91","191.11","196.03","189.41","2.08M","2.57%"
"Feb 05, 2017","191.00","188.10","192.26","186.50","1.46M","1.54%"
"Jan 29, 2017","188.10","183.51","188.16","180.91","2.06M","2.54%"
"Jan 22, 2017","183.44","181.03","183.58","179.41","2.07M","1.05%"
"Jan 15, 2017","181.53","178.25","184.75","177.69","1.62M","1.11%"
"Jan 08, 2017","179.54","177.61","182.91","175.73","2.79M","1.31%"
"Jan 01, 2017","177.21","175.68","178.57","174.05","1.84M","1.30%"
"Dec 25, 2016","174.93","175.93","178.11","174.38","1.42M","-0.29%"
"Dec 18, 2016","175.43","175.20","176.21","172.83","2.21M","0.13%"
"Dec 11, 2016","175.21","171.06","178.49","169.39","3.25M","2.69%"
"Dec 04, 2016","170.62","161.52","175.00","161.52","4.76M","5.24%"
"Nov 27, 2016","162.12","170.33","171.81","158.73","3.71M","-5.03%"
"Nov 20, 2016","170.70","172.70","176.27","166.64","2.51M","-0.76%"
"Nov 13, 2016","172.00","177.87","178.72","167.53","3.09M","-2.97%"
"Nov 06, 2016","177.27","176.89","184.69","176.75","2.09M","0.82%"
"Oct 30, 2016","175.82","175.91","177.16","172.92","1.86M","0.26%"
"Oct 23, 2016","175.36","179.94","181.96","174.60","2.34M","-1.91%"
"Oct 16, 2016","178.78","178.81","181.05","176.28","1.64M","0.67%"
"Oct 09, 2016","177.59","180.92","182.43","176.64","1.88M","-1.82%"
"Oct 02, 2016","180.88","177.63","181.17","175.97","2.20M","0.90%"
"Sep 25, 2016","179.26","180.87","180.87","175.02","3.55M","-0.94%"
"Sep 18, 2016","180.97","188.66","190.99","180.90","13.86M","-4.00%"
"Sep 11, 2016","188.51","184.60","190.75","184.20","1.85M","1.99%"
"Sep 04, 2016","184.83","186.69","189.69","184.75","1.93M","-0.59%"
"Aug 28, 2016","185.92","184.29","189.98","182.27","2.00M","1.09%"
"Aug 21, 2016","183.92","183.73","189.76","182.29","1.43M","0.03%"
"Aug 14, 2016","183.86","180.95","183.87","179.51","1.33M","1.69%"
"Aug 07, 2016","180.81","182.42","184.17","179.90","838.93K","-1.13%"
"Jul 31, 2016","182.87","182.40","183.86","180.14","980.10K","0.22%"
"Jul 24, 2016","182.47","177.80","183.49","175.48","1.28M","2.77%"
"Jul 17, 2016","177.56","178.87","179.53","175.32","950.95K","-0.48%"
"Jul 10, 2016","178.42","181.92","183.07","177.52","1.45M","-1.88%"
"Jul 03, 2016","181.83","176.30","182.21","175.19","1.96M","2.53%"
"Jun 26, 2016","177.34","165.77","177.61","162.38","2.96M","6.32%"
"Jun 19, 2016","166.80","163.35","168.09","161.51","2.37M","3.03%"
"Jun 12, 2016","161.89","163.05","164.50","159.81","1.58M","-0.83%"
"Jun 05, 2016","163.24","165.40","166.48","162.21","2.48M","-1.31%"
"May 29, 2016","165.40","163.34","173.50","161.62","3.44M","1.78%"
"May 22, 2016","162.50","160.85","164.83","159.98","2.10M","1.34%"
"May 15, 2016","160.35","158.36","161.73","156.60","1.86M","2.81%"
"May 08, 2016","155.97","153.29","157.90","152.58","1.52M","1.74%"
"May 01, 2016","153.31","152.77","155.02","152.09","1.30M","0.15%"
"Apr 24, 2016","153.08","157.98","159.46","152.71","1.46M","-3.03%"
"Apr 17, 2016","157.86","155.21","161.17","154.91","1.41M","1.04%"
"Apr 10, 2016","156.23","155.40","156.70","153.55","1.62M","0.66%"
"Apr 03, 2016","155.21","158.73","159.60","154.00","1.65M","-1.52%"
"Mar 27, 2016","157.60","149.00","158.65","147.77","2.33M","5.91%"
"Mar 20, 2016","148.80","149.33","151.69","146.89","1.19M","-0.80%"
"Mar 13, 2016","150.00","149.68","151.68","141.67","2.31M","-0.31%"
"Mar 06, 2016","150.47","152.56","153.54","144.17","2.37M","-1.42%"
"Feb 28, 2016","152.64","144.48","156.31","141.51","4.17M","5.41%"
"Feb 21, 2016","144.81","141.83","145.50","139.15","2.12M","2.82%"
"Feb 14, 2016","140.84","135.00","141.66","135.00","1.75M","5.43%"
"Feb 07, 2016","133.58","126.05","135.27","123.80","2.77M","5.09%"
"Jan 31, 2016","127.11","129.00","134.40","127.00","2.43M","-3.08%"
"Jan 24, 2016","131.15","127.22","131.33","124.50","2.76M","2.58%"
"Jan 17, 2016","127.85","123.00","128.21","119.28","2.11M","4.92%"
"Jan 10, 2016","121.86","129.12","129.97","119.77","2.70M","-5.32%"
"Jan 03, 2016","128.71","132.46","133.30","127.85","2.25M","-4.09%"
"Dec 27, 2015","134.20","135.65","137.44","134.11","1.04M","-1.57%"
"Dec 20, 2015","136.34","135.84","137.16","132.64","1.44M","0.48%"
"Dec 13, 2015","135.69","135.00","138.54","132.58","3.60M","0.36%"
"Dec 06, 2015","135.20","129.78","136.20","129.78","4.44M","3.73%"
"Nov 29, 2015","130.34","147.15","150.48","121.01","7.37M","-11.31%"
"Nov 22, 2015","146.96","144.67","148.00","141.84","1.56M","1.86%"
"Nov 15, 2015","144.27","147.50","150.13","143.52","2.94M","-2.16%"
"Nov 08, 2015","147.46","152.94","153.69","145.80","1.48M","-3.82%"
"Nov 01, 2015","153.31","152.67","155.18","150.97","1.88M","0.62%"
"Oct 25, 2015","152.36","146.38","152.60","143.53","2.14M","4.14%"
"Oct 18, 2015","146.31","144.09","147.08","142.36","2.71M","1.36%"
"Oct 11, 2015","144.34","137.06","147.23","136.75","3.89M","4.88%"
"Oct 04, 2015","137.62","150.17","150.95","137.05","4.06M","-7.56%"
"Sep 27, 2015","148.87","148.50","149.80","142.22","3.27M","-0.66%"
"Sep 20, 2015","149.86","153.96","158.17","148.80","3.22M","-2.04%"
"Sep 13, 2015","152.98","149.61","153.55","147.28","2.78M","2.22%"
"Sep 06, 2015","149.66","152.81","153.07","147.15","2.75M","-0.80%"
"Aug 30, 2015","150.87","164.20","165.69","142.11","4.09M","-8.42%"
"Aug 23, 2015","164.74","153.73","165.59","149.72","2.29M","1.43%"
"Aug 16, 2015","162.42","172.39","175.96","161.51","2.28M","-6.27%"
"Aug 09, 2015","173.29","174.74","176.96","171.01","1.36M","-0.34%"
"Aug 02, 2015","173.88","177.33","179.75","171.98","1.15M","-1.76%"
"Jul 26, 2015","177.00","172.80","179.01","171.17","1.31M","2.08%"
"Jul 19, 2015","173.39","174.48","176.95","171.15","2.20M","-0.39%"
"Jul 12, 2015","174.07","177.00","179.97","173.50","1.36M","-1.16%"
"Jul 05, 2015","176.12","175.54","177.98","173.40","2.12M","-0.27%"
"Jun 28, 2015","176.59","176.89","179.73","175.56","1.78M","-1.28%"
"Jun 21, 2015","178.88","180.42","181.01","174.35","1.46M","-0.62%"
"Jun 14, 2015","180.00","176.29","181.73","175.27","2.31M","1.43%"
"Jun 07, 2015","177.47","175.07","178.05","170.78","2.09M","1.20%"
"May 31, 2015","175.37","182.04","186.37","170.50","3.18M","-3.52%"
"May 24, 2015","181.77","179.66","182.35","178.25","1.27M","0.56%"
"May 17, 2015","180.75","180.75","183.96","178.88","1.44M","-0.13%"
"May 10, 2015","180.98","180.14","181.78","177.05","983.06K","0.07%"
"May 03, 2015","180.85","178.53","182.65","175.48","1.64M","1.60%"
"Apr 26, 2015","178.00","182.82","183.20","176.99","1.70M","-2.06%"
"Apr 19, 2015","181.75","181.20","184.24","180.45","1.39M","0.79%"
"Apr 12, 2015","180.32","186.96","188.12","178.02","1.50M","-3.70%"
"Apr 05, 2015","187.25","187.26","189.91","184.16","1.66M","-0.24%"
"Mar 29, 2015","187.70","186.86","190.00","184.85","1.72M","0.82%"
"Mar 22, 2015","186.17","187.44","187.44","182.15","1.97M","-0.68%"
"Mar 15, 2015","187.44","186.00","189.98","184.80","2.31M","0.86%"
"Mar 08, 2015","185.84","179.00","188.84","178.21","3.08M","3.10%"
"Mar 01, 2015","180.26","164.34","181.98","162.53","3.60M","9.93%"
"Feb 22, 2015","163.97","165.27","166.24","162.54","1.86M","-1.11%"
"Feb 15, 2015","165.81","165.31","166.24","162.45","1.61M","0.37%"
"Feb 08, 2015","165.20","160.25","165.24","158.12","1.69M","2.43%"
"Feb 01, 2015","161.28","158.25","162.91","154.80","1.83M","2.30%"
"Jan 25, 2015","157.65","161.28","164.63","156.76","2.31M","-2.53%"
"Jan 18, 2015","161.75","159.56","164.85","158.63","1.38M","1.25%"
"Jan 11, 2015","159.75","162.68","164.49","158.34","1.81M","-1.30%"
"Jan 04, 2015","161.86","159.47","164.93","156.35","2.58M","0.78%"
"Dec 28, 2014","160.61","163.27","165.47","159.94","1.61M","-2.07%"
"Dec 21, 2014","164.00","162.70","164.59","161.23","1.60M","0.69%"
"Dec 14, 2014","162.87","159.43","163.41","154.21","2.90M","2.92%"
"Dec 07, 2014","158.25","160.86","163.29","157.88","3.57M","-2.31%"
"Nov 30, 2014","162.00","168.59","170.22","161.02","4.30M","-4.09%"
"Nov 23, 2014","168.90","167.50","169.98","164.44","3.55M","1.05%"
"Nov 16, 2014","167.15","161.73","171.54","160.72","4.03M","3.35%"
"Nov 09, 2014","161.73","165.25","165.86","158.91","4.02M","-1.98%"
"Nov 02, 2014","165.00","164.89","167.59","162.14","1.93M","0.67%"
"Oct 26, 2014","163.90","156.83","166.52","156.44","1.73M","4.26%"
"Oct 19, 2014","157.20","149.76","157.48","147.73","2.17M","4.98%"
"Oct 12, 2014","149.74","149.88","151.08","143.62","2.90M","-0.35%"
"Oct 05, 2014","150.27","156.63","157.72","150.25","2.14M","-3.80%"
"Sep 28, 2014","156.21","155.00","157.96","153.24","2.10M","0.00%"
"Sep 21, 2014","156.21","159.13","160.08","154.64","2.23M","-1.85%"
"Sep 14, 2014","159.15","158.85","160.35","155.54","2.87M","0.43%"
"Sep 07, 2014","158.47","162.52","164.57","158.25","2.61M","-2.43%"
"Aug 31, 2014","162.42","163.49","164.85","157.76","2.95M","-0.37%"
"Aug 24, 2014","163.03","163.19","164.47","160.52","2.02M","0.59%"
"Aug 17, 2014","162.08","161.58","163.75","160.18","1.80M","0.89%"
"Aug 10, 2014","160.65","159.14","162.33","157.65","1.82M","1.43%"
"Aug 03, 2014","158.39","160.71","160.77","157.56","2.64M","-0.94%"
"Jul 27, 2014","159.90","159.59","163.24","158.92","3.83M","-0.04%"
"Jul 20, 2014","159.97","149.63","161.65","148.83","4.74M","5.94%"
"Jul 13, 2014","151.00","150.76","151.55","148.35","2.87M","0.53%"
"Jul 06, 2014","150.21","145.16","150.44","143.93","2.99M","3.36%"
"Jun 29, 2014","145.32","136.99","147.56","134.72","4.31M","6.04%"
"Jun 22, 2014","137.04","137.25","137.25","134.42","1.66M","-0.10%"
"Jun 15, 2014","137.18","131.00","137.24","130.41","2.73M","5.01%"
"Jun 08, 2014","130.64","133.39","133.99","129.97","1.91M","-2.04%"
"Jun 01, 2014","133.36","129.65","133.56","127.62","3.05M","3.36%"
"May 25, 2014","129.02","131.15","131.47","127.36","2.05M","-0.87%"
"May 18, 2014","130.15","132.88","134.56","127.02","2.03M","-2.30%"
"May 11, 2014","133.22","134.03","136.59","130.72","1.35M","0.37%"
"May 04, 2014","132.73","132.58","135.56","129.81","1.46M","-0.80%"
"Apr 27, 2014","133.80","129.87","134.47","128.35","1.49M","3.64%"
"Apr 20, 2014","129.10","126.10","130.95","126.10","1.41M","0.34%"
"Apr 13, 2014","128.66","124.93","129.98","124.02","2.14M","4.08%"
"Apr 06, 2014","123.62","132.37","132.75","123.49","2.65M","-6.76%"
"Mar 30, 2014","132.58","133.86","139.38","132.40","2.82M","0.21%"
"Mar 23, 2014","132.30","134.70","135.98","131.19","1.92M","-1.27%"
"Mar 16, 2014","134.00","133.09","139.47","132.68","2.84M","1.25%"
"Mar 09, 2014","132.35","135.52","136.66","130.97","2.66M","-3.03%"
"Mar 02, 2014","136.48","127.87","145.34","127.55","3.96M","6.45%"
"Feb 23, 2014","128.21","127.45","131.20","126.60","1.49M","0.53%"
"Feb 16, 2014","127.54","125.20","128.84","124.84","1.18M","2.06%"
"Feb 09, 2014","124.96","123.38","127.88","122.92","2.22M","1.26%"
"Feb 02, 2014","123.40","123.29","123.54","116.95","3.20M","-0.71%"
"Jan 26, 2014","124.28","122.91","125.36","121.47","1.90M","1.29%"
"Jan 19, 2014","122.70","130.86","130.86","122.11","2.22M","-5.40%"
"Jan 12, 2014","129.70","125.87","131.52","123.86","2.58M","2.82%"
"Jan 05, 2014","126.14","123.85","127.17","120.16","3.65M","2.10%"
"Dec 29, 2013","123.55","125.88","126.99","122.29","1.33M","-1.62%"
"Dec 22, 2013","125.58","126.93","128.05","125.39","1.29M","-1.12%"
"Dec 15, 2013","127.00","120.84","127.00","119.31","3.84M","4.78%"
"Dec 08, 2013","121.21","125.34","127.17","118.58","4.42M","-3.62%"
"Dec 01, 2013","125.76","131.64","135.00","125.02","3.17M","-4.54%"
"Nov 24, 2013","131.74","133.56","133.97","129.99","1.10M","-1.40%"
"Nov 17, 2013","133.61","129.23","134.47","127.23","1.30M","3.29%"
"Nov 10, 2013","129.35","127.39","129.41","126.04","913.86K","1.79%"
"Nov 03, 2013","127.07","128.25","129.24","125.48","916.45K","-1.00%"
"Oct 27, 2013","128.35","128.93","132.15","127.53","1.03M","-0.64%"
"Oct 20, 2013","129.18","126.19","129.28","125.29","1.21M","2.59%"
"Oct 13, 2013","125.92","128.99","129.96","125.49","1.92M","-2.90%"
"Oct 06, 2013","129.68","126.21","129.76","124.00","1.89M","2.05%"
"Sep 29, 2013","127.07","129.00","131.99","126.23","2.44M","-2.65%"
"Sep 22, 2013","130.53","131.11","131.27","125.88","1.54M","-0.59%"
"Sep 15, 2013","131.31","133.80","135.22","130.76","1.04M","-0.58%"
"Sep 08, 2013","132.07","131.33","135.41","131.33","1.23M","0.88%"
"Sep 01, 2013","130.92","131.79","134.20","126.79","1.77M","0.24%"
"Aug 25, 2013","130.61","130.09","132.21","128.03","1.25M","0.35%"
"Aug 18, 2013","130.16","129.28","130.86","127.54","825.09K","0.56%"
"Aug 11, 2013","129.43","131.13","133.53","128.02","829.05K","-1.66%"
"Aug 04, 2013","131.61","128.75","132.29","127.48","1.01M","1.98%"
"Jul 28, 2013","129.05","125.47","130.37","124.08","1.32M","2.59%"
"Jul 21, 2013","125.79","126.88","129.06","124.67","1.27M","-0.83%"
"Jul 14, 2013","126.84","125.18","128.37","124.55","1.17M","1.18%"
"Jul 07, 2013","125.36","124.10","125.60","122.03","1.41M","1.39%"
"Jun 30, 2013","123.64","119.64","123.78","119.23","889.51K","3.86%"
"Jun 23, 2013","119.05","117.48","120.92","116.27","1.68M","0.38%"
"Jun 16, 2013","118.60","122.17","124.08","116.91","1.34M","-2.41%"
"Jun 09, 2013","121.53","120.22","122.77","119.06","1.73M","1.27%"
"Jun 02, 2013","120.00","113.00","120.56","110.33","2.76M","6.19%"
"May 26, 2013","113.01","109.88","115.33","108.57","1.76M","3.64%"
"May 19, 2013","109.04","111.25","112.15","105.71","2.42M","-1.96%"
"May 12, 2013","111.22","116.01","116.79","110.39","1.97M","-4.10%"
"May 05, 2013","115.97","112.23","116.64","111.75","1.20M","3.54%"
"Apr 28, 2013","112.00","108.21","112.03","107.00","1.34M","3.97%"
"Apr 21, 2013","107.72","106.45","110.45","104.93","934.03K","1.38%"
"Apr 14, 2013","106.25","108.74","108.81","104.23","1.52M","-2.48%"
"Apr 07, 2013","108.95","106.21","109.93","105.39","1.35M","2.62%"
"Mar 31, 2013","106.17","107.80","108.29","105.76","1.58M","-1.59%"
"Mar 24, 2013","107.88","104.64","108.04","103.68","1.13M","3.57%"
"Mar 17, 2013","104.16","103.42","109.82","102.72","1.09M","0.33%"
"Mar 10, 2013","103.82","106.54","106.98","103.46","1.73M","-4.07%"
"Mar 03, 2013","108.23","104.83","109.56","103.57","2.65M","3.00%"
"Feb 24, 2013","105.08","103.31","106.75","102.14","1.25M","2.11%"
