"id","date_added","gspc","vix","tnx","wti","gold","ixic","rut"
4000,2017-01-11,2275.320068,11.26,2.37,52.25,1195.599976,5563.649902,1373.300049
4001,2017-01-12,2270.439941,11.54,2.361,53.009997999999996,1198.900024,5547.490234000001,1361.069946
4002,2017-01-13,2274.639893,11.23,2.38,52.369999,1195.300049,5574.120117,1372.050049
4003,2017-01-17,2267.889893,11.87,2.327,52.48,1212.0,5538.72998,1352.319946
4004,2017-01-18,2271.889893,12.48,2.389,51.080002,1211.300049,5555.649902,1358.560059
4005,2017-01-19,2263.689941,12.78,2.459,51.369999,1200.900024,5540.080078,1345.73999
4006,2017-01-20,2271.310059,11.54,2.467,52.419998,1204.300049,5555.330078,1351.849976
4007,2017-01-23,2265.199951,11.77,2.403,52.75,1215.0,5552.939941,1347.839966
4008,2017-01-24,2280.070068,11.07,2.471,53.18,1210.300049,5600.959961,1369.209961
4009,2017-01-25,2298.3701170000004,10.81,2.523,52.75,1197.300049,5656.339844,1382.439941
4010,2017-01-26,2296.679932,10.63,2.508,53.779999,1189.5,5655.180176,1375.599976
4011,2017-01-27,2294.689941,10.58,2.481,53.169998,1188.099976,5660.779785,1370.699951
4012,2017-01-30,2280.899902,11.88,2.483,52.630001,1193.199951,5613.709961,1352.329956
4013,2017-01-31,2278.8701170000004,11.99,2.451,52.810001,1208.599976,5614.790039,1361.819946
4014,2017-02-01,2279.550049,11.81,2.474,53.880001,1205.599976,5642.649902,1361.22998
4015,2017-02-02,2280.850098,11.93,2.47,53.540001000000004,1216.699951,5636.200195,1357.430054
4016,2017-02-03,2297.419922,10.97,2.491,53.830002,1218.5,5666.77002,1377.839966
4017,2017-02-06,2292.560059,11.37,2.413,53.009997999999996,1230.0,5663.549805,1366.660034
4018,2017-02-07,2293.080078,11.29,2.389,52.169998,1234.199951,5674.220215,1361.060059
4019,2017-02-08,2294.669922,11.45,2.351,52.34,1237.599976,5682.450195,1358.73999
4020,2017-02-09,2307.8701170000004,10.88,2.395,53.0,1235.099976,5715.180176,1378.530029
4021,2017-02-10,2316.100098,10.85,2.409,53.860001000000004,1234.400024,5734.129883,1388.839966
4022,2017-02-13,2328.25,11.07,2.434,52.93,1224.400024,5763.959961,1392.380005
4023,2017-02-14,2337.580078,10.74,2.47,53.200001,1223.900024,5782.569824,1396.650024
4024,2017-02-15,2349.25,11.97,2.502,53.110001000000004,1231.699951,5819.439941,1404.209961
4025,2017-02-16,2347.219971,11.76,2.45,53.360001000000004,1240.0,5814.899902,1399.130005
4026,2017-02-17,2351.159912,11.49,2.425,53.400002,1237.599976,5838.580078,1399.859985
4027,2017-02-21,2365.3798829999996,11.57,2.427,54.060001,1237.5,5865.950195,1410.339966
4028,2017-02-22,2362.820068,11.74,2.418,53.59,1232.0,5860.629883,1403.859985
4029,2017-02-23,2363.810059,11.71,2.388,54.450001,1250.199951,5835.509765999999,1394.619995
4030,2017-02-24,2367.340088,11.47,2.317,53.990002000000004,1256.900024,5845.310059,1394.52002
4031,2017-02-27,2369.75,12.09,2.369,54.049999,1257.400024,5861.899902,1407.969971
4032,2017-02-28,2363.639893,12.92,2.358,54.009997999999996,1252.599976,5825.439941,1386.680054
4033,2017-03-01,2395.959961,12.54,2.463,53.830002,1248.900024,5904.029785,1413.640015
4034,2017-03-02,2381.919922,11.81,2.489,52.610001000000004,1231.900024,5861.220215,1395.670044
4035,2017-03-03,2383.1201170000004,10.96,2.492,53.330002,1225.5,5870.75,1394.130005
4036,2017-03-06,2375.310059,11.24,2.494,53.200001,1224.5,5849.180176,1384.25
4037,2017-03-07,2368.389893,11.45,2.511,53.139998999999996,1215.099976,5833.930176,1374.880005
4038,2017-03-08,2362.97998,11.86,2.552,50.279999,1208.5,5837.549805,1366.040039
4039,2017-03-09,2364.8701170000004,12.3,2.598,49.279999,1202.400024,5838.810059,1360.119995
4040,2017-03-10,2372.600098,11.66,2.582,48.490002000000004,1200.699951,5861.72998,1365.26001
4041,2017-03-13,2373.469971,11.35,2.608,48.400002,1202.400024,5875.779785,1370.280029
4042,2017-03-14,2365.449951,12.3,2.595,47.720001,1201.900024,5856.819824,1362.380005
4043,2017-03-15,2385.26001,11.63,2.508,48.860001000000004,1200.099976,5900.049805,1382.829956
4044,2017-03-16,2381.3798829999996,11.21,2.522,48.75,1226.5,5900.759765999999,1386.030029
4045,2017-03-17,2378.25,11.28,2.501,48.779999,1229.800049,5901.0,1391.52002
4046,2017-03-20,2373.469971,11.34,2.473,48.220001,1233.599976,5901.529785,1384.099976
4047,2017-03-21,2344.02002,12.47,2.436,47.34,1246.099976,5793.830078,1346.550049
4048,2017-03-22,2348.449951,12.81,2.396,48.040001000000004,1249.300049,5821.640136999999,1345.599976
4049,2017-03-23,2345.959961,13.12,2.418,47.700001,1246.900024,5817.689941,1353.430054
4050,2017-03-24,2343.97998,12.96,2.4,47.970001,1248.199951,5828.740234000001,1354.640015
4051,2017-03-27,2341.590088,12.5,2.373,47.73,1255.400024,5840.370117,1357.319946
4052,2017-03-28,2358.570068,11.53,2.409,48.369999,1255.300049,5875.140136999999,1367.26001
4053,2017-03-29,2361.1298829999996,11.42,2.386,49.509997999999996,1253.400024,5897.549805,1371.640015
4054,2017-03-30,2368.060059,11.54,2.416,50.349998,1245.0,5914.339844,1382.349976
4055,2017-03-31,2362.719971,12.37,2.396,50.599998,1247.300049,5911.740234000001,1385.920044
4056,2017-04-03,2358.840088,12.38,2.35,50.240002000000004,1250.800049,5894.680176,1369.670044
4057,2017-04-04,2360.159912,11.79,2.35,51.029999,1255.0,5898.609863000001,1368.180054
4058,2017-04-05,2352.949951,12.89,2.357,51.150002,1245.400024,5864.47998,1352.140015
4059,2017-04-06,2357.48999,12.39,2.343,51.700001,1250.300049,5878.950195,1364.430054
4060,2017-04-07,2355.540039,12.87,2.373,52.240002000000004,1254.300049,5877.810059,1364.560059
4061,2017-04-10,2357.159912,14.05,2.361,53.080002,1251.099976,5880.930176,1367.089966
4062,2017-04-11,2353.780029,15.07,2.298,53.400002,1271.199951,5866.77002,1376.949951
4063,2017-04-12,2344.929932,15.77,2.296,53.110001000000004,1275.300049,5836.160156,1359.199951
4064,2017-04-13,2328.949951,15.96,2.232,53.18,1285.900024,5805.149902,1345.23999
4065,2017-04-17,2349.01001,14.66,2.252,52.650002,1289.400024,5856.790039,1361.180054
4066,2017-04-18,2342.189941,14.42,2.179,52.41,1291.699951,5849.470215,1361.890015
4067,2017-04-19,2338.169922,14.93,2.202,50.439999,1281.400024,5863.029785,1367.130005
4068,2017-04-20,2355.840088,14.15,2.241,50.27,1281.900024,5916.779785,1384.150024
4069,2017-04-21,2348.689941,14.63,2.237,49.619999,1287.400024,5910.52002,1379.849976
4070,2017-04-24,2374.149902,10.84,2.273,49.23,1275.800049,5983.819824,1397.939941
4071,2017-04-25,2388.610107,10.76,2.327,49.560001,1265.599976,6025.490234000001,1411.079956
4072,2017-04-26,2387.449951,10.85,2.311,49.619999,1262.099976,6025.22998,1419.430054
4073,2017-04-27,2388.77002,10.36,2.296,48.970001,1263.699951,6048.939941,1417.130005
4074,2017-04-28,2384.199951,10.82,2.282,49.330002,1266.099976,6047.609863000001,1400.430054
4075,2017-05-01,2388.330078,10.11,2.325,48.84,1253.300049,6091.600098,1407.359985
4076,2017-05-02,2391.169922,10.59,2.296,47.66,1255.099976,6095.370117,1399.359985
4077,2017-05-03,2388.1298829999996,10.68,2.309,47.82,1246.400024,6072.549805,1390.920044
4078,2017-05-04,2389.52002,10.46,2.356,45.52,1226.5,6075.339844,1388.849976
4079,2017-05-05,2399.290039,10.57,2.352,46.220001,1224.800049,6100.759765999999,1397.0
4080,2017-05-08,2399.3798829999996,9.77,2.376,46.43,1225.300049,6102.660156,1391.640015
4081,2017-05-09,2396.919922,9.96,2.407,45.880001,1214.300049,6120.589844,1391.859985
4082,2017-05-10,2399.6298829999996,10.21,2.414,47.330002,1217.300049,6129.140136999999,1399.589966
4083,2017-05-11,2394.439941,10.6,2.4,47.830002,1222.699951,6115.959961,1390.199951
4084,2017-05-12,2390.899902,10.4,2.335,47.84,1226.199951,6121.22998,1382.77002
